head.feature_extracter.backbone.conv1.weight	(64, 3, 7, 7)
head.feature_extracter.backbone.layer2.2.bn2._mean	(128,)
head.feature_extracter.backbone.layer2.2.bn2._variance	(128,)
head.feature_extracter.backbone.layer2.2.conv3.weight	(512, 128, 1, 1)
head.feature_extracter.backbone.layer2.2.bn3.weight	(512,)
head.feature_extracter.backbone.layer2.2.bn3.bias	(512,)
head.feature_extracter.backbone.layer2.2.bn3._mean	(512,)
head.feature_extracter.backbone.layer2.2.bn3._variance	(512,)
head.feature_extracter.backbone.layer2.3.conv1.weight	(128, 512, 1, 1)
head.feature_extracter.backbone.layer2.3.bn1.weight	(128,)
head.feature_extracter.backbone.layer2.3.bn1.bias	(128,)
head.feature_extracter.backbone.layer2.3.bn1._mean	(128,)
head.feature_extracter.backbone.layer2.3.bn1._variance	(128,)
head.feature_extracter.backbone.layer2.3.conv2.weight	(128, 128, 3, 3)
head.feature_extracter.backbone.layer2.3.bn2.weight	(128,)
head.feature_extracter.backbone.layer2.3.bn2.bias	(128,)
head.feature_extracter.backbone.layer2.3.bn2._mean	(128,)
head.feature_extracter.backbone.layer2.3.bn2._variance	(128,)
head.feature_extracter.backbone.layer2.3.conv3.weight	(512, 128, 1, 1)
head.feature_extracter.backbone.layer2.3.bn3.weight	(512,)
head.feature_extracter.backbone.layer2.3.bn3.bias	(512,)
head.feature_extracter.backbone.layer2.3.bn3._mean	(512,)
head.feature_extracter.backbone.layer2.3.bn3._variance	(512,)
head.feature_extracter.backbone.layer3.0.conv1.weight	(256, 512, 1, 1)
head.feature_extracter.backbone.layer3.0.bn1.weight	(256,)
head.feature_extracter.backbone.layer3.0.bn1.bias	(256,)
head.feature_extracter.backbone.layer3.0.bn1._mean	(256,)
head.feature_extracter.backbone.layer3.0.bn1._variance	(256,)
head.feature_extracter.backbone.layer3.0.conv2.weight	(256, 256, 3, 3)
head.feature_extracter.backbone.layer3.0.bn2.weight	(256,)
head.feature_extracter.backbone.layer3.0.bn2.bias	(256,)
head.feature_extracter.backbone.layer3.0.bn2._mean	(256,)
